Country,Youtuber,Latitude,Longitude,subscribers
Argentina,4,-38.416097,-63.616672,33550000.0
Australia,1,-25.274398,133.775136,27800000.0
Barbados,1,13.193887,-59.543198,41900000.0
Brazil,15,-14.235004,-51.92528,20240000.0
Canada,3,56.130366,-106.346771,44733333.333333336
Colombia,7,4.570868,-74.297333,23057142.85714286
France,2,46.227638,2.213749,17650000.0
India,38,20.593684,78.96288,35213157.89473684
Iraq,1,33.223191,43.679291,17400000.0
Jordan,3,30.585164,36.238414,22333333.333333332
Mexico,2,23.634501,-102.552784,18250000.0
Morocco,1,31.791702,-7.09262,14500000.0
Netherlands,1,52.132633,5.291266,30100000.0
Philippines,1,12.879721,121.774017,14200000.0
Samoa,1,-13.759029,-172.104629,13100000.0
Saudi Arabia,2,23.885942,45.079162,20800000.0
South Korea,7,35.907757,127.766922,44985714.28571428
Spain,4,40.463667,-3.74922,15400000.0
Sweden,1,60.128161,18.643501,20600000.0
Thailand,4,15.870032,100.992541,18875000.0
Turkey,1,38.963745,35.243322,24100000.0
United Kingdom,15,55.378051,-3.435973,22453333.333333332
United States,81,37.09024,-95.712891,23611111.111111112
